명칭,대분류,중분류
Cell to Pack,기술,기술
무선충전,기술,기술
빅데이터,기술,기술
인공지능,기술,기술
인포테인먼트,기술,기술
커넥티드,기술,기술
클라우드,기술,기술
텔레매틱스,기술,기술
컴퓨팅,기술,기술
IT,기술,기술
엔지니어링,기술,기술
ICT,기술,기술
ADAS,기술,기술
중성자,기술,기술
VR,기술,기술
MR,기술,기술
플렉시블,기술,기술
UHD,기술,기술
증폭기,기술,기술
원자로,기술,기술
자연어처리,기술,기술
플라스틱재활용,기술,기술
생물정보학,기술,기술
녹색수소,기술,기술
대체단백질,기술,기술
3D프린팅,기술,기술
재료정보학,기술,기술
정밀농업,기술,기술
합성생물학,기술,기술
에지컴퓨팅,기술,기술
유전자교정,기술,기술
의료이미징,기술,기술
홀로그램,기술,기술
GPS,기술,기술
LTE,기술,기술
IT·NT·BT,기술,기술
자연모사기술,기술,기술
농식품신선도유지기술,기술,기술
디지털휴먼증강,기술,기술
DNA개량,기술,기술
대체에너지개발,기술,기술
안전포장기술,기술,기술
전기차충전기술,기술,기술
고속충전기술,기술,기술
오토파일럿,기술,기술
사물인터넷,기술,기술
크루즈컨트롤,기술,기술
운전자보조기능,기술,기술
AR,기술,기술
헬스케어,서비스,서비스
메타버스,기술,기술
양극재설계,기술,기술
양극재제조,기술,기술
첨가제제조,기술,기술
첨가제설계,기술,기술
흑연계설계,기술,기술
복합체설계,기술,기술
음극재설계,기술,기술
음극재제조,기술,기술
분리막설계,기술,기술
분리막제조,기술,기술
SRS설계,기술,기술
SRS제조,기술,기술
분리막공정,기술,기술
전해액설계,기술,기술
전해액제조,기술,기술
전해질설계,기술,기술
전해질제조,기술,기술
바인더설계,기술,기술
도전재설계,기술,기술
바인더제조,기술,기술
도전재제조,기술,기술
Pouch설계,기술,기술
Lead Assembly 제조,기술,기술
기타부품설계,기술,기술
젤리롤전극조립체,기술,기술
소형파우치형설계,기술,기술
중대형파우치형설계,기술,기술
소형원통형설계,기술,기술
중대형원통형설계,기술,기술
소형각형설계,기술,기술
중대형각형설계,기술,기술
차세대전지설계,기술,기술
신규구조셀설계,기술,기술
Mixing,기술,기술
Coating,기술,기술
RollPress,기술,기술
Slitting,기술,기술
전극건조,기술,기술
Notching,기술,기술
Lamination,기술,기술
Winding,기술,기술
Assembly,기술,기술
Folding,기술,기술
Stacking,기술,기술
Package,기술,기술
Formation,기술,기술
Degas,기술,기술
DSF,기술,기술
EOL,기술,기술
검사기술,기술,기술
제어기술,기술,기술
DE,기술,기술
포장기술,기술,기술
PFMEA,기술,기술
해석기술,기술,기술
Pre-lithiation,기술,기술
제련기술,기술,기술
신규소재공정기술,기술,기술
신규구조셀제조,기술,기술
신뢰성기술,기술,기술
환경분석,기술,기술
안전성분석,기술,기술
셀규격해석,기술,기술
셀설계분석,기술,기술
플라스틱성형,기술,기술
금속성형,기술,기술
후처리기술,기술,기술
접합,기술,기술
조립,기술,기술
인쇄기술,기술,기술
공차분석,기술,기술
구조물설계,기술,기술
전기연결설계,기술,기술
냉각구조설계,기술,기술
안전성설계,기술,기술
소재성형해석,기술,기술
해석기반셀등가,기술,기술
팩/모듈구조해석,기술,기술
팩/모듈열유동해석,기술,기술
공정해석,기술,기술
접합해석,기술,기술
입자기반해석,기술,기술
최적화해석,기술,기술
다중물리학해석,기술,기술
배터리수명시험분석,기술,기술
시험해석,기술,기술
신뢰성시험개발,기술,기술
